Administrative Office(bhel)
Alathur
Allur
Ambikapuram (tiruchirappalli)
Andanallur
Annanagar
Arasangudi
Ariyamangalam
Ariyavur
Asoor
Ayyampatti
Bharathidasan University
Bheemanagar
Boiler Project Tr
C Sector (bhel) Tr
Clock Tower (tiruchirappalli)
Craw Ford Colony
Edamalaipatti Pudur
Fathimanagar
Golden Rock Market
Golden Rock North
Golden Rock
Gundur
Hapf Township
Inamkulathur
Industrial Colony
Jainagar (tiruchirappalli)
Jamal Mohamed College
K.k.nagar (tiruchirappalli)
K.sathanur
Kamarajanagar
Kamarajapuram (bhel)
Kambarasampettai
Khajamalai Colony
Khajanagar
Kilakalkandarkottai
Kilakurichi
Kodiyalam
Koothappar
Kulumani
Kumaravayalur
Malaiadivaram
Malliampattu
Manikandam
Mannarpuram
Mekkudi
Melakalkandarkottai
Mutharasanallur
Nagamangalam
Natarajapuram
National Institute Of Technology
Navalpattu
Navalurkottapattu
Ordnance Estate Tr
P & T Colony (tiruchirappalli)
Paganur
Palakkarai
Palanganangudi
Pappakurichi Kattur
Pathalapettai
Perugamani
Pettavaithalai
Pirattiyur
Ponnagar
Ponniah School Buildings
Pulangulathupatti
Pushpanagar
Puthur
Ramalinganagar South
Ramjeenagar
Ranjithapuram
Rock Fort
Salainagar
Senthanneerpuram
Sircarpalayam
Somarasampettai
Subramaniapuram (tiruchirappalli)
Sundararajanagar
Suriyur
Tennur
Teppakulam
Thayanur
Thillai Nagar
Thiruverumbur
Thuvakudi
Thuvakudimalai
Tiruchirappalli Airport
Tiruchirappalli Cantonment
Tiruchirappalli Collectorate
Tiruchirappalli Fort
Tiruchirappalli
Tiruchirappalli R.s.
Tiruchirappalli Townhall
Tirunedungulam
Tirupparaithurai
Valavandankottai
Vengur
Woriur Bazaar
Woriur
